"Acres","FamilyIncome","FamilyType","NumBedrooms","NumChildren","NumPeople","NumRooms","NumUnits","NumVehicles","NumWorkers","OwnRent","YearBuilt","HouseCosts","ElectricBill","FoodStamp","HeatingFuel","Insurance","Language","Income"
"Sub 1",33204,"Married",3,0,2,8,"Single detached",2,0,"Mortgage","1960-1969",610,130,"No","Gas",400,"English","Below"
"Sub 1",33400,"Married",4,2,5,7,"Single detached",1,1,"Rented","1950-1959",480,260,"No","Gas",0,"Spanish","Below"
"Sub 1",60800,"Married",2,0,2,7,"Single detached",3,2,"Mortgage","Before 1939",900,290,"No","Gas",490,"English","Below"
"Sub 1",58000,"Married",4,3,6,6,"Single attached",2,1,"Mortgage","1940-1949",3300,100,"No","Oil",1200,"Other","Below"
"Sub 1",200000,"Male Head",4,0,2,8,"Single detached",2,2,"Mortgage","1950-1959",4000,400,"No","Oil",2500,"English","Above"
"Sub 1",63200,"Married",5,0,4,9,"Single attached",3,2,"Mortgage","Before 1939",2700,130,"No","Gas",2000,"Spanish","Below"
"Sub 1",142300,"Married",3,0,2,7,"Single detached",3,2,"Mortgage","Before 1939",550,60,"No","Gas",600,"English","Below"
"1-10",130000,"Married",4,4,6,5,"Single detached",1,2,"Mortgage","2008",1400,130,"No","Oil",1000,"English","Below"
"1-10",14600,"Married",3,1,5,9,"Mobile home",2,2,"Mortgage","1990-1999",500,290,"No","Oil",300,"English","Below"
"Sub 1",113000,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","1950-1959",2800,160,"No","Oil",1300,"English","Below"
"Sub 1",129000,"Married",3,0,3,5,"Single detached",3,3,"Mortgage","1990-1999",1700,110,"No","Gas",650,"Other European","Below"
"Sub 1",56000,"Married",2,2,4,7,"Single detached",2,2,"Mortgage","1950-1959",1600,180,"No","Oil",900,"Spanish","Below"
"1-10",57200,"Married",2,1,3,6,"Single detached",4,2,"Mortgage","1980-1989",350,80,"No","Wood",300,"English","Below"
"1-10",127700,"Married",8,3,5,21,"Single detached",2,2,"Mortgage","1980-1989",6500,150,"No","Oil",6600,"English","Below"
"Sub 1",59000,"Female Head",4,0,3,9,"Single detached",3,3,"Mortgage","1940-1949",440,110,"No","Gas",230,"English","Below"
"Sub 1",60000,"Male Head",3,1,3,7,"Single detached",4,2,"Mortgage","1950-1959",810,60,"No","Gas",0,"Other European","Below"
"Sub 1",202300,"Married",3,1,3,8,"Single detached",2,3,"Mortgage","1950-1959",2100,210,"No","Oil",1700,"Spanish","Above"
"Sub 1",50200,"Married",1,0,3,6,"Single detached",2,3,"Mortgage","Before 1939",770,120,"No","Gas",450,"English","Below"
"Sub 1",567550,"Married",3,2,4,11,"Single detached",1,2,"Mortgage","1950-1959",4600,390,"No","Gas",3200,"English","Above"
"Sub 1",55574,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","1970-1979",550,70,"No","Gas",600,"English","Below"
"Sub 1",14000,"Married",2,0,2,4,"Single attached",1,1,"Rented","Before 1939",650,60,"No","Gas",0,"Other","Below"
"Sub 1",42600,"Married",3,0,2,8,"Single detached",2,1,"Mortgage","Before 1939",200,70,"No","Gas",1400,"English","Below"
"Sub 1",116400,"Married",4,0,2,6,"Single detached",2,2,"Mortgage","1950-1959",2000,50,"No","Oil",0,"English","Below"
"Sub 1",304870,"Married",4,0,4,8,"Single detached",4,3,"Mortgage","1960-1969",2500,250,"Yes","Oil",3000,"English","Above"
"Sub 1",160000,"Married",4,0,2,8,"Single detached",2,2,"Mortgage","1970-1979",2100,160,"No","Gas",500,"English","Above"
"Sub 1",286500,"Married",2,0,5,8,"Single detached",3,3,"Mortgage","1940-1949",2600,200,"No","Gas",1400,"English","Above"
"Sub 1",102000,"Married",3,2,4,9,"Single detached",2,1,"Mortgage","1950-1959",2700,110,"No","Gas",1200,"English","Below"
"1-10",60020,"Female Head",4,2,3,9,"Single detached",1,1,"Mortgage","1960-1969",3000,500,"No","Oil",6600,"English","Below"
"Sub 1",140000,"Married",4,0,5,12,"Single detached",3,1,"Mortgage","Before 1939",4000,250,"No","Gas",4000,"Other European","Below"
"Sub 1",100000,"Married",4,2,5,7,"Single attached",1,1,"Mortgage","Before 1939",2000,300,"No","Oil",1700,"Spanish","Below"
"Sub 1",39900,"Married",2,0,2,5,"Single attached",1,0,"Outright","1980-1989",280,400,"No","Electricity",300,"English","Below"
"Sub 1",135000,"Married",3,3,6,6,"Single detached",2,2,"Mortgage","1940-1949",3000,230,"No","Gas",1000,"Asian Pacific","Below"
"Sub 1",60000,"Married",4,0,2,9,"Single detached",2,1,"Mortgage","1990-1999",850,150,"No","Gas",0,"English","Below"
"Sub 1",136660,"Male Head",3,2,5,8,"Single detached",2,3,"Mortgage","Before 1939",600,90,"Yes","Wood",400,"English","Below"
"1-10",159000,"Married",3,2,4,7,"Single detached",3,1,"Mortgage","1960-1969",1000,100,"No","Gas",400,"English","Above"
"Sub 1",61200,"Married",3,0,2,6,"Single detached",2,0,"Mortgage","1960-1969",720,60,"No","Gas",670,"English","Below"
"1-10",112000,"Married",3,0,2,6,"Single detached",4,1,"Mortgage","Before 1939",1200,170,"No","Oil",2000,"English","Below"
"Sub 1",55000,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","Before 1939",3000,400,"No","Gas",3000,"Other European","Below"
"10+",18000,"Married",3,0,2,6,"Single detached",1,2,"Mortgage","Before 1939",480,150,"No","Wood",1500,"English","Below"
"Sub 1",145000,"Married",3,0,2,6,"Single detached",3,2,"Mortgage","1950-1959",3800,350,"No","Oil",800,"English","Below"
"Sub 1",143000,"Married",4,0,4,7,"Single detached",5,3,"Mortgage","1970-1979",270,130,"No","Gas",830,"English","Below"
"Sub 1",32000,"Female Head",1,1,2,4,"Single attached",1,1,"Rented","Before 1939",800,180,"No","Gas",0,"English","Below"
"1-10",165000,"Married",4,2,4,8,"Single detached",3,2,"Mortgage","2006",2500,150,"No","Oil",500,"Spanish","Above"
"Sub 1",193000,"Married",5,3,7,10,"Single detached",2,2,"Mortgage","Before 1939",2300,150,"Yes","Gas",3300,"Spanish","Above"
"10+",34000,"Male Head",5,5,7,10,"Single detached",3,2,"Mortgage","1960-1969",340,400,"No","Wood",240,"English","Below"
"1-10",150000,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1980-1989",3500,250,"No","Oil",0,"Other European","Above"
"1-10",48400,"Male Head",2,0,2,4,"Mobile home",1,1,"Mortgage","1990-1999",600,210,"Yes","Gas",700,"English","Below"
"Sub 1",41000,"Female Head",5,0,2,12,"Single detached",2,1,"Mortgage","1970-1979",1700,200,"No","Gas",900,"English","Below"
"Sub 1",87500,"Married",3,1,3,6,"Single detached",2,2,"Mortgage","1950-1959",540,150,"No","Oil",480,"English","Below"
"1-10",133600,"Female Head",2,0,2,4,"Single attached",1,0,"Mortgage","2008",2420,100,"No","Gas",160,"English","Below"
"1-10",132940,"Married",3,2,4,6,"Single detached",2,2,"Mortgage","1990-1999",1700,230,"No","Gas",1200,"English","Below"
"Sub 1",79800,"Male Head",3,0,2,5,"Single attached",0,2,"Mortgage","1990-1999",900,90,"No","Gas",750,"English","Below"
"10+",242000,"Married",5,0,4,8,"Single detached",3,3,"Mortgage","1950-1959",1700,140,"No","Gas",980,"Other","Above"
"Sub 1",208600,"Female Head",8,0,7,8,"Single detached",1,3,"Mortgage","1960-1969",1700,200,"Yes","Gas",2000,"Other European","Above"
"Sub 1",1014000,"Married",4,0,3,8,"Single detached",1,2,"Mortgage","2007",6500,180,"No","Gas",2000,"Asian Pacific","Above"
"Sub 1",132000,"Married",2,2,4,4,"Single detached",0,2,"Mortgage","1940-1949",2900,180,"No","Oil",2300,"English","Below"
"Sub 1",150000,"Male Head",3,2,3,8,"Single attached",1,1,"Mortgage","1980-1989",3000,300,"No","Electricity",500,"English","Above"
"Sub 1",70000,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1950-1959",850,180,"No","Gas",350,"English","Below"
"1-10",276000,"Married",4,2,4,8,"Single detached",2,2,"Mortgage","1950-1959",2300,90,"No","Gas",1000,"English","Above"
"10+",164000,"Married",4,0,2,10,"Single detached",2,0,"Mortgage","1960-1969",1500,160,"No","Oil",1600,"English","Above"
"Sub 1",163100,"Married",4,0,2,9,"Single detached",2,2,"Mortgage","1950-1959",2300,230,"No","Gas",1500,"English","Above"
"Sub 1",72600,"Married",4,0,2,8,"Single detached",2,1,"Mortgage","Before 1939",2300,130,"No","Gas",1500,"English","Below"
"1-10",17000,"Married",2,0,2,5,"Mobile home",2,2,"Mortgage","2006",1200,60,"No","Wood",540,"English","Below"
"Sub 1",522500,"Married",4,2,4,8,"Single detached",1,1,"Mortgage","1980-1989",1500,150,"No","Oil",2000,"English","Above"
"Sub 1",62000,"Male Head",3,0,2,5,"Single detached",2,2,"Mortgage","1960-1969",1600,400,"No","Oil",1000,"English","Below"
"Sub 1",82000,"Married",3,0,2,8,"Single detached",2,2,"Mortgage","1970-1979",300,50,"No","Gas",0,"English","Below"
"Sub 1",65700,"Married",3,1,5,6,"Single attached",1,2,"Mortgage","1950-1959",1200,100,"No","Gas",1300,"English","Below"
"Sub 1",30400,"Female Head",4,0,2,8,"Single detached",1,1,"Mortgage","Before 1939",350,50,"No","Gas",770,"English","Below"
"1-10",151700,"Married",4,0,3,11,"Single detached",3,3,"Mortgage","Before 1939",750,220,"No","Oil",530,"English","Above"
"Sub 1",78000,"Married",3,3,5,7,"Single detached",2,2,"Mortgage","2000-2004",1400,100,"No","Gas",500,"English","Below"
"Sub 1",137800,"Married",4,2,4,9,"Single detached",2,2,"Mortgage","1950-1959",1900,300,"No","Oil",500,"English","Below"
"1-10",54500,"Married",3,0,2,10,"Single detached",2,2,"Mortgage","1980-1989",1800,300,"No","Oil",1600,"English","Below"
"Sub 1",100000,"Married",3,0,4,5,"Single attached",2,2,"Mortgage","Before 1939",1200,140,"No","Gas",1200,"English","Below"
"10+",39290,"Married",4,0,5,8,"Single detached",2,2,"Mortgage","1980-1989",540,400,"No","Electricity",2400,"Spanish","Below"
"Sub 1",120000,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1970-1979",1600,200,"No","Oil",600,"Spanish","Below"
"Sub 1",115000,"Married",3,3,5,6,"Single detached",2,2,"Mortgage","1980-1989",820,190,"No","Gas",450,"English","Below"
"1-10",62000,"Married",3,2,4,7,"Single detached",3,1,"Mortgage","Before 1939",700,50,"No","Coal",400,"English","Below"
"1-10",59600,"Married",3,0,3,6,"Single detached",2,3,"Mortgage","1990-1999",1000,160,"No","Gas",1200,"English","Below"
"Sub 1",129000,"Married",4,1,3,8,"Single detached",2,2,"Mortgage","1960-1969",1200,70,"No","Gas",1100,"English","Below"
"Sub 1",130500,"Married",2,0,2,6,"Single detached",1,1,"Mortgage","1950-1959",990,50,"No","Gas",870,"English","Below"
"Sub 1",8200,"Female Head",3,5,6,7,"Single detached",1,0,"Rented","Before 1939",650,500,"Yes","Gas",0,"English","Below"
"1-10",520600,"Married",4,0,2,11,"Single detached",2,1,"Mortgage","1980-1989",3800,210,"No","Gas",2200,"English","Above"
"10+",96000,"Married",3,0,3,8,"Single detached",5,3,"Mortgage","1980-1989",230,210,"No","Wood",1500,"English","Below"
"1-10",55300,"Married",4,0,2,10,"Single detached",1,0,"Mortgage","2007",150,150,"No","Gas",370,"English","Below"
"Sub 1",160100,"Married",4,1,3,8,"Single detached",2,3,"Mortgage","1990-1999",2600,200,"No","Oil",2200,"English","Above"
"1-10",244500,"Married",3,0,2,10,"Single detached",3,2,"Mortgage","Before 1939",500,170,"No","Oil",450,"English","Above"
"Sub 1",244504,"Married",4,0,5,8,"Single detached",3,3,"Mortgage","1960-1969",1600,170,"Yes","Gas",2100,"English","Above"
"Sub 1",76500,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1950-1959",900,120,"No","Oil",1300,"English","Below"
"Sub 1",99000,"Married",2,0,2,9,"Single detached",2,2,"Mortgage","1970-1979",180,70,"No","Gas",0,"English","Below"
"Sub 1",69500,"Married",3,0,4,8,"Single detached",0,3,"Mortgage","2010",760,70,"No","Gas",2200,"English","Below"
"10+",62400,"Male Head",3,0,6,6,"Single detached",3,2,"Mortgage","1950-1959",420,150,"No","Wood",0,"English","Below"
"Sub 1",507560,"Married",4,2,4,7,"Single detached",2,1,"Mortgage","1960-1969",4300,310,"No","Oil",4000,"English","Above"
"Sub 1",79800,"Married",4,2,5,7,"Single detached",2,3,"Mortgage","1940-1949",940,150,"No","Gas",600,"Spanish","Below"
"Sub 1",48000,"Married",3,0,2,4,"Single detached",1,1,"Mortgage","1940-1949",1100,250,"No","Oil",6600,"English","Below"
"Sub 1",20000,"Female Head",3,1,2,6,"Single detached",1,1,"Mortgage","Before 1939",330,220,"No","Gas",500,"English","Below"
"Sub 1",28000,"Female Head",3,2,4,6,"Single detached",2,1,"Mortgage","1940-1949",450,80,"No","Oil",430,"English","Below"
"Sub 1",146600,"Female Head",4,0,5,8,"Single detached",3,3,"Mortgage","1940-1949",1800,200,"No","Oil",750,"Other European","Below"
"Sub 1",52600,"Married",3,0,4,9,"Single detached",4,2,"Mortgage","Before 1939",1400,160,"No","Gas",2000,"English","Below"
"Sub 1",88300,"Married",3,0,3,10,"Single detached",2,3,"Mortgage","Before 1939",490,120,"No","Oil",1500,"English","Below"
"Sub 1",508400,"Married",4,0,4,9,"Single detached",4,1,"Mortgage","Before 1939",1400,580,"No","Oil",1200,"English","Above"
"1-10",14500,"Female Head",2,1,2,5,"Single detached",1,1,"Mortgage","1980-1989",200,90,"Yes","Gas",0,"English","Below"
"Sub 1",94800,"Married",3,0,5,5,"Single detached",4,3,"Mortgage","1950-1959",800,60,"No","Gas",250,"English","Below"
"1-10",88000,"Married",2,0,2,4,"Single detached",2,1,"Mortgage","2008",650,200,"No","Electricity",600,"English","Below"
"Sub 1",380040,"Married",4,1,3,9,"Single detached",2,1,"Mortgage","1990-1999",2400,200,"No","Oil",1600,"Spanish","Above"
"1-10",176000,"Married",3,2,4,8,"Single detached",3,2,"Mortgage","1990-1999",2800,400,"No","Oil",900,"English","Above"
"Sub 1",209000,"Married",3,0,2,5,"Single detached",4,2,"Mortgage","1940-1949",1300,260,"No","Gas",730,"English","Above"
"Sub 1",34500,"Married",1,0,2,5,"Single detached",1,1,"Rented","1950-1959",600,60,"No","Oil",0,"English","Below"
"10+",26700,"Female Head",4,0,2,8,"Single detached",1,0,"Mortgage","Before 1939",1800,120,"No","Gas",700,"Other European","Below"
"Sub 1",291000,"Married",2,0,2,8,"Single detached",2,2,"Mortgage","Before 1939",600,210,"No","Gas",1000,"English","Above"
"Sub 1",140000,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","1950-1959",3100,310,"No","Oil",1200,"English","Below"
"Sub 1",100000,"Married",4,1,3,7,"Single detached",2,2,"Mortgage","Before 1939",730,250,"No","Gas",500,"English","Below"
"1-10",260000,"Married",4,0,4,7,"Single detached",4,3,"Mortgage","1980-1989",2200,200,"No","Oil",1100,"English","Above"
"1-10",53700,"Married",3,1,4,5,"Single detached",3,3,"Mortgage","1990-1999",760,200,"No","Electricity",250,"English","Below"
"Sub 1",105000,"Married",2,0,2,8,"Single detached",2,2,"Mortgage","1960-1969",2500,100,"No","Oil",1700,"English","Below"
"1-10",61960,"Married",2,0,3,5,"Single detached",2,2,"Mortgage","1950-1959",120,100,"No","Gas",500,"English","Below"
"Sub 1",220000,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","1950-1959",3300,220,"No","Oil",900,"English","Above"
"Sub 1",109000,"Married",3,1,3,6,"Single attached",2,2,"Mortgage","1990-1999",1300,190,"No","Gas",500,"Other European","Below"
"Sub 1",47200,"Female Head",4,0,5,6,"Single attached",1,2,"Rented","1960-1969",1100,1,"Yes","Electricity",0,"English","Below"
"Sub 1",33500,"Married",4,0,2,8,"Single detached",2,0,"Mortgage","1940-1949",2300,150,"No","Oil",1300,"Spanish","Below"
"1-10",40500,"Married",2,0,2,6,"Single detached",0,0,"Mortgage","Before 1939",370,200,"No","Oil",1200,"English","Below"
"1-10",123000,"Married",4,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",1000,50,"No","Oil",800,"English","Below"
"1-10",507000,"Married",4,3,5,9,"Single detached",2,1,"Mortgage","2010",3000,150,"No","Gas",600,"English","Above"
"Sub 1",101600,"Married",2,0,3,6,"Single detached",3,2,"Mortgage","1950-1959",840,130,"No","Gas",380,"Other European","Below"
"Sub 1",127500,"Married",3,3,5,8,"Single detached",2,2,"Mortgage","Before 1939",2600,240,"No","Gas",1500,"English","Below"
"Sub 1",75300,"Married",3,3,5,5,"Single detached",2,2,"Mortgage","1940-1949",3200,240,"No","Gas",2000,"English","Below"
"1-10",64000,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",1500,200,"No","Oil",1600,"English","Below"
"Sub 1",107000,"Married",4,3,5,10,"Single detached",2,1,"Mortgage","1950-1959",2400,250,"No","Gas",600,"English","Below"
"1-10",97000,"Married",3,0,2,8,"Single detached",3,2,"Mortgage","Before 1939",1000,160,"No","Gas",800,"English","Below"
"Sub 1",101000,"Married",4,3,5,6,"Single detached",2,2,"Mortgage","1990-1999",1000,30,"No","Electricity",490,"English","Below"
"Sub 1",42900,"Female Head",4,0,5,9,"Single detached",3,2,"Mortgage","1970-1979",400,250,"No","Electricity",0,"Other European","Below"
"Sub 1",95500,"Married",4,2,4,9,"Single detached",3,1,"Mortgage","Before 1939",3000,220,"No","Gas",1000,"English","Below"
"Sub 1",133000,"Married",3,1,4,6,"Single detached",2,2,"Mortgage","1960-1969",2200,210,"No","Oil",1200,"English","Below"
"Sub 1",86800,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",300,120,"No","Gas",500,"English","Below"
"1-10",59850,"Married",4,4,6,8,"Single detached",2,3,"Mortgage","Before 1939",690,150,"No","Other",530,"English","Below"
"Sub 1",42200,"Married",3,0,2,8,"Single detached",2,1,"Mortgage","1950-1959",1100,300,"No","Oil",500,"English","Below"
"Sub 1",142000,"Married",4,0,2,7,"Single detached",3,2,"Mortgage","1960-1969",1400,90,"No","Gas",1000,"English","Below"
"1-10",75000,"Married",3,0,2,8,"Single detached",2,2,"Mortgage","1980-1989",300,110,"No","Oil",500,"English","Below"
"Sub 1",93000,"Female Head",3,0,2,7,"Single detached",2,2,"Mortgage","1940-1949",1000,300,"No","Gas",600,"English","Below"
"Sub 1",92000,"Married",3,2,4,5,"Single detached",3,2,"Mortgage","1960-1969",850,80,"No","Gas",400,"English","Below"
"Sub 1",45500,"Female Head",3,0,3,5,"Single detached",1,3,"Rented","1950-1959",1400,200,"No","Gas",0,"English","Below"
"1-10",215800,"Married",4,0,6,10,"Single detached",3,3,"Mortgage","1990-1999",2900,580,"No","Gas",1400,"English","Above"
"1-10",50000,"Married",3,2,4,7,"Mobile home",2,2,"Mortgage","1990-1999",750,110,"No","Wood",690,"English","Below"
"Sub 1",123800,"Married",3,1,3,7,"Single detached",2,3,"Mortgage","1950-1959",940,150,"No","Gas",1000,"English","Below"
"Sub 1",118800,"Married",4,0,5,9,"Single detached",5,3,"Mortgage","Before 1939",900,80,"No","Gas",200,"English","Below"
"Sub 1",181150,"Married",3,0,3,7,"Single detached",3,3,"Mortgage","1940-1949",2400,230,"No","Oil",1100,"English","Above"
"Sub 1",149000,"Married",3,1,3,5,"Single detached",1,2,"Mortgage","1940-1949",2700,140,"No","Gas",600,"Spanish","Below"
"1-10",77800,"Married",4,3,5,10,"Single detached",2,2,"Mortgage","1950-1959",1900,210,"No","Oil",2000,"English","Below"
"Sub 1",27000,"Married",4,2,5,8,"Single detached",2,1,"Mortgage","1950-1959",1800,170,"No","Gas",900,"Other European","Below"
"Sub 1",68900,"Married",8,0,2,12,"Single detached",2,1,"Mortgage","1940-1949",640,120,"No","Oil",400,"English","Below"
"Sub 1",144800,"Married",2,0,3,6,"Single detached",2,2,"Mortgage","1970-1979",530,310,"No","Gas",1000,"English","Below"
"1-10",76300,"Married",3,3,5,5,"Single detached",4,2,"Mortgage","1940-1949",2000,200,"No","Wood",0,"English","Below"
"Sub 1",557000,"Married",5,2,4,21,"Single detached",2,2,"Mortgage","Before 1939",2400,130,"No","Gas",1500,"English","Above"
"Sub 1",155600,"Married",4,2,5,8,"Single detached",2,2,"Mortgage","1990-1999",2800,350,"No","Gas",2000,"Other European","Above"
"Sub 1",36600,"Married",3,0,2,8,"Single detached",2,1,"Rented","1950-1959",1300,90,"No","Oil",0,"English","Below"
"Sub 1",30000,"Married",3,1,4,6,"Single attached",3,2,"Mortgage","1970-1979",1700,380,"No","Gas",1100,"English","Below"
"Sub 1",66000,"Married",3,2,4,6,"Single detached",1,1,"Rented","1950-1959",750,90,"No","Gas",0,"English","Below"
"Sub 1",170000,"Married",4,2,4,8,"Single detached",2,1,"Mortgage","1960-1969",2400,80,"No","Gas",530,"English","Above"
"Sub 1",264800,"Married",5,0,6,11,"Single detached",3,2,"Mortgage","1990-1999",4400,420,"No","Gas",750,"Other European","Above"
"Sub 1",90000,"Married",4,2,4,5,"Single detached",2,2,"Mortgage","1950-1959",2600,300,"No","Gas",1000,"Other European","Below"
"Sub 1",87000,"Married",3,2,4,9,"Single detached",2,2,"Mortgage","Before 1939",460,150,"No","Gas",400,"English","Below"
"10+",12600,"Married",3,0,2,9,"Single detached",2,1,"Mortgage","Before 1939",1100,50,"No","Oil",500,"English","Below"
"Sub 1",117200,"Married",4,2,5,8,"Single detached",3,1,"Mortgage","Before 1939",3200,240,"No","Gas",2000,"Other European","Below"
"Sub 1",129000,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1950-1959",3000,130,"No","Gas",1000,"English","Below"
"Sub 1",677100,"Married",4,2,4,12,"Single detached",2,2,"Mortgage","Before 1939",4800,230,"No","Gas",2600,"English","Above"
"Sub 1",135500,"Married",4,2,4,8,"Single detached",2,1,"Mortgage","1940-1949",1000,150,"No","Oil",1000,"English","Below"
"Sub 1",260000,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","Before 1939",2000,200,"No","Gas",2000,"English","Above"
"Sub 1",143980,"Married",3,2,4,9,"Single detached",2,2,"Mortgage","1970-1979",980,300,"No","Electricity",1000,"English","Below"
"Sub 1",158500,"Married",3,0,2,7,"Single detached",2,0,"Mortgage","Before 1939",400,120,"No","Gas",2100,"English","Above"
"10+",50200,"Married",3,1,3,5,"Single detached",2,2,"Mortgage","1960-1969",730,120,"No","Oil",520,"English","Below"
"Sub 1",33200,"Married",2,0,2,4,"Mobile home",2,1,"Rented","1980-1989",450,100,"No","Gas",0,"English","Below"
"Sub 1",147470,"Married",3,0,2,8,"Single detached",2,2,"Mortgage","1950-1959",2500,160,"No","Oil",1300,"English","Below"
"Sub 1",185600,"Female Head",4,0,5,5,"Single detached",2,3,"Mortgage","Before 1939",3100,10,"Yes","Gas",950,"English","Above"
"Sub 1",110470,"Female Head",8,0,3,12,"Single detached",4,1,"Mortgage","1970-1979",3300,180,"No","Gas",1000,"English","Below"
"Sub 1",31900,"Married",4,3,6,6,"Single detached",2,1,"Rented","1950-1959",1800,580,"Yes","Gas",0,"Spanish","Below"
"Sub 1",79800,"Married",4,2,4,6,"Single detached",2,2,"Mortgage","1960-1969",1600,100,"No","Gas",600,"English","Below"
"1-10",116700,"Female Head",4,2,3,21,"Single detached",2,1,"Mortgage","2000-2004",2900,200,"No","Gas",1400,"English","Below"
"Sub 1",220000,"Married",3,3,5,6,"Single detached",2,2,"Mortgage","1970-1979",2600,350,"No","Oil",1600,"English","Above"
"Sub 1",61000,"Married",3,1,3,6,"Single detached",3,3,"Mortgage","Before 1939",460,60,"No","Gas",650,"English","Below"
"Sub 1",42900,"Married",2,0,2,5,"Single attached",2,0,"Outright","1990-1999",440,130,"No","Electricity",510,"English","Below"
"Sub 1",59400,"Married",3,0,2,7,"Single detached",1,0,"Mortgage","Before 1939",1400,80,"No","Oil",200,"English","Below"
"Sub 1",28350,"Female Head",3,1,3,8,"Single detached",2,1,"Mortgage","1980-1989",720,150,"No","Oil",300,"Other European","Below"
"1-10",55200,"Married",3,1,3,6,"Single detached",2,2,"Mortgage","1990-1999",920,120,"No","Gas",520,"English","Below"
"Sub 1",26500,"Married",4,1,4,9,"Single detached",3,2,"Mortgage","1970-1979",1300,150,"No","Gas",700,"English","Below"
"Sub 1",25000,"Married",4,0,2,6,"Single detached",3,1,"Mortgage","1940-1949",1300,100,"No","Oil",130,"English","Below"
"Sub 1",163900,"Married",8,2,6,11,"Single detached",5,3,"Mortgage","2000-2004",2600,300,"Yes","Electricity",0,"Asian Pacific","Above"
"Sub 1",29240,"Female Head",3,2,3,5,"Single detached",1,2,"Mortgage","Before 1939",1400,180,"No","Gas",2000,"Asian Pacific","Below"
"Sub 1",98100,"Female Head",3,1,4,7,"Single attached",3,3,"Mortgage","Before 1939",3000,110,"No","Gas",1200,"English","Below"
"Sub 1",25960,"Female Head",3,1,4,4,"Single detached",0,2,"Rented","1970-1979",1500,230,"No","Gas",0,"English","Below"
"Sub 1",75000,"Married",4,3,5,8,"Single detached",2,2,"Mortgage","1950-1959",970,130,"No","Gas",600,"English","Below"
"1-10",5000,"Female Head",4,1,3,8,"Single detached",3,1,"Mortgage","1990-1999",1600,280,"No","Oil",1000,"English","Below"
"1-10",104000,"Female Head",3,0,2,6,"Single detached",1,2,"Mortgage","1940-1949",770,150,"No","Gas",1000,"Other European","Below"
"Sub 1",40000,"Married",2,1,3,4,"Single attached",1,2,"Rented","1950-1959",900,80,"No","Gas",0,"Other European","Below"
"Sub 1",50000,"Female Head",4,0,3,6,"Single detached",1,1,"Mortgage","1960-1969",1900,80,"No","Gas",1200,"Spanish","Below"
"Sub 1",85000,"Married",3,1,3,5,"Single detached",2,1,"Mortgage","1950-1959",2600,140,"No","Oil",1300,"English","Below"
"1-10",76000,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1950-1959",1200,180,"No","Oil",600,"English","Below"
"Sub 1",27300,"Female Head",3,0,4,5,"Single detached",1,1,"Rented","1950-1959",1900,240,"Yes","Oil",0,"English","Below"
"Sub 1",119000,"Married",3,2,4,5,"Single detached",2,2,"Mortgage","1950-1959",2200,230,"No","Gas",1000,"English","Below"
"Sub 1",20000,"Female Head",4,2,3,7,"Single detached",1,1,"Rented","Before 1939",2000,140,"Yes","Gas",0,"English","Below"
"Sub 1",127000,"Married",3,0,2,8,"Single detached",2,1,"Mortgage","1970-1979",1600,80,"No","Oil",750,"English","Below"
"Sub 1",160500,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","1980-1989",2300,150,"No","Gas",2300,"English","Above"
"Sub 1",53000,"Married",3,2,5,6,"Single detached",2,3,"Mortgage","1950-1959",670,200,"No","Electricity",350,"English","Below"
"Sub 1",170000,"Married",4,2,4,7,"Single detached",2,2,"Mortgage","1990-1999",2000,100,"No","Electricity",0,"English","Above"
"Sub 1",70000,"Female Head",2,1,2,4,"Single detached",1,1,"Mortgage","Before 1939",3000,200,"No","Gas",0,"Spanish","Below"
"Sub 1",107500,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1950-1959",1400,80,"No","Oil",650,"English","Below"
"1-10",92100,"Married",3,0,5,7,"Single detached",4,3,"Mortgage","1980-1989",1200,350,"No","Wood",800,"English","Below"
"Sub 1",85800,"Married",4,3,5,7,"Single attached",2,1,"Mortgage","2000-2004",2500,210,"No","Gas",1000,"English","Below"
"10+",54100,"Married",4,0,2,9,"Single detached",2,1,"Mortgage","1980-1989",740,290,"Yes","Oil",200,"English","Below"
"Sub 1",13700,"Female Head",2,2,3,4,"Single attached",0,0,"Rented","1970-1979",740,130,"Yes","Gas",0,"English","Below"
"Sub 1",21200,"Married",2,1,3,6,"Single detached",1,2,"Mortgage","1940-1949",820,160,"No","Gas",500,"English","Below"
